Gene.stable.ID,Gene.name
ENSMUSG00000092304,GM20530
ENSMUSG00000092224,GM8815
ENSMUSG00000004939,NMRK2
ENSMUSG00000101916,GM18501
ENSMUSG00000082729,GM14845
ENSMUSG00000084197,GM9089
ENSMUSG00000103376,GM37179
ENSMUSG00000118478,GM50476
ENSMUSG00000104340,GM10522
ENSMUSG00000034958,ATCAY
ENSMUSG00000050232,CXCR3
ENSMUSG00000064246,CHIL1
ENSMUSG00000092277,GM19684
ENSMUSG00000090222,IFI203-PS
ENSMUSG00000051579,TCEAL8
ENSMUSG00000079471,MYMX
ENSMUSG00000092365,BC023719
ENSMUSG00000102187,GM7897
ENSMUSG00000092243,GM7030
ENSMUSG00000084284,TPT1-PS6
ENSMUSG00000020477,MRPS24
ENSMUSG00000082541,GM9095
ENSMUSG00000038067,CSF3
ENSMUSG00000036825,SSX2IP
ENSMUSG00000025922,GM5045
ENSMUSG00000025332,KDM5C
ENSMUSG00000045010,GM4779
ENSMUSG00000085102,1700010K24RIK
ENSMUSG00000073405,H2-T-PS
ENSMUSG00000082922,GM6939
ENSMUSG00000027649,CTNNBL1
ENSMUSG00000116389,GM49504
ENSMUSG00000079491,H2-T10
ENSMUSG00000091191,GM17334
ENSMUSG00000115604,GM7691
ENSMUSG00000043467,ZBTB37
ENSMUSG00000043155,HPDL
ENSMUSG00000047721,BOLA2
ENSMUSG00000059089,FCGR4
ENSMUSG00000115118,GM36617
ENSMUSG00000106076,GM43840
ENSMUSG00000098528,ZFP572
ENSMUSG00000106219,5830416I19RIK
ENSMUSG00000050945,ZFP438
ENSMUSG00000020105,LRIG3
ENSMUSG00000019826,ZBTB24
ENSMUSG00000107923,GM43922
ENSMUSG00000075602,LY6A
ENSMUSG00000108223,GM43933
ENSMUSG00000046774,8030474K03RIK
ENSMUSG00000107752,GM43934
ENSMUSG00000054034,TCEAL5
ENSMUSG00000107438,GM43945
ENSMUSG00000079487,MED12
ENSMUSG00000021754,MAP3K1
ENSMUSG00000030707,CORO1A
ENSMUSG00000028167,BDH2
ENSMUSG00000026390,MARCO
ENSMUSG00000020857,NME2
ENSMUSG00000106662,GM43034
ENSMUSG00000081230,GM9097
ENSMUSG00000029392,RILPL1
ENSMUSG00000104695,GM30023
ENSMUSG00000050071,BEX1
ENSMUSG00000118638,AL805980.1
ENSMUSG00000073739,GM16287
ENSMUSG00000082284,H3F3A-PS1
ENSMUSG00000086417,GM12996
ENSMUSG00000116749,GM49612
ENSMUSG00000020687,CDC27
ENSMUSG00000116763,GM41492
ENSMUSG00000116412,GM49505
ENSMUSG00000116455,GM35974
ENSMUSG00000116713,GM49613
ENSMUSG00000115871,GM49507
ENSMUSG00000036244,TBC1D21
ENSMUSG00000073961,OLFR582
ENSMUSG00000043671,DPY19L3
ENSMUSG00000115955,9530056E24RIK
ENSMUSG00000006360,CRIP1
ENSMUSG00000079428,TCEAL7
ENSMUSG00000102433,GM38050
ENSMUSG00000060807,SERPINA6
ENSMUSG00000090272,MNDAL
ENSMUSG00000028673,FUCA1
ENSMUSG00000027303,PTPRA
ENSMUSG00000009210,PRR29
ENSMUSG00000047034,ANKRD33
ENSMUSG00000113849,GM47346
ENSMUSG00000020657,DNAJC27
ENSMUSG00000103680,GM37072
ENSMUSG00000094194,IGHV5-16
ENSMUSG00000037601,NME1
ENSMUSG00000026643,NMT2
ENSMUSG00000095571,IGHV5-17
ENSMUSG00000103893,IGHV5-18
ENSMUSG00000001785,PWP1
ENSMUSG00000116882,GM49614
ENSMUSG00000027165,B230118H07RIK
ENSMUSG00000039830,OLIG2
ENSMUSG00000031839,HSBP1
ENSMUSG00000112632,GM4510
ENSMUSG00000116528,GM49508
ENSMUSG00000112387,1700021G15RIK
ENSMUSG00000085872,GM11505
ENSMUSG00000116300,GM49509
ENSMUSG00000117520,GM50064
ENSMUSG00000112482,1700025K04RIK
ENSMUSG00000102958,GM37016
ENSMUSG00000038233,GASK1A
ENSMUSG00000009350,MPO
ENSMUSG00000073960,OLFR583
ENSMUSG00000117617,GM50065
ENSMUSG00000112435,GM47965
ENSMUSG00000021032,NGB
ENSMUSG00000091228,GM20390
ENSMUSG00000075390,RPL36-PS8
ENSMUSG00000112208,GM40797
ENSMUSG00000029346,SRRD
ENSMUSG00000116007,GM4116
ENSMUSG00000082841,GM12994
ENSMUSG00000085865,GM15966
ENSMUSG00000046010,ZFP830
ENSMUSG00000026536,IFI211
ENSMUSG00000110391,GM7269
ENSMUSG00000079852,KLRA4
